
###################
Card test (random test) - Adventurer
-- Seed[64] -- Handsize[31] -- Decksize[221]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[65] -- Handsize[477] -- Decksize[263]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[66] -- Handsize[423] -- Decksize[306]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[67] -- Handsize[368] -- Decksize[348]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[68] -- Handsize[314] -- Decksize[391]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[69] -- Handsize[260] -- Decksize[433]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[70] -- Handsize[206] -- Decksize[476]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[71] -- Handsize[152] -- Decksize[18]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[72] -- Handsize[98] -- Decksize[61]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[73] -- Handsize[43] -- Decksize[103]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[74] -- Handsize[489] -- Decksize[146]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[75] -- Handsize[435] -- Decksize[188]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[76] -- Handsize[381] -- Decksize[231]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[77] -- Handsize[327] -- Decksize[273]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[78] -- Handsize[272] -- Decksize[316]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[79] -- Handsize[218] -- Decksize[358]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[80] -- Handsize[164] -- Decksize[401]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[81] -- Handsize[110] -- Decksize[443]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[82] -- Handsize[56] -- Decksize[486]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[83] -- Handsize[1] -- Decksize[28]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[84] -- Handsize[447] -- Decksize[71]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[85] -- Handsize[393] -- Decksize[113]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[86] -- Handsize[339] -- Decksize[156]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[87] -- Handsize[285] -- Decksize[198]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[88] -- Handsize[230] -- Decksize[241]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[89] -- Handsize[176] -- Decksize[283]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[90] -- Handsize[122] -- Decksize[326]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[91] -- Handsize[68] -- Decksize[368]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[92] -- Handsize[14] -- Decksize[411]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[93] -- Handsize[459] -- Decksize[454]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[94] -- Handsize[405] -- Decksize[496]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[95] -- Handsize[351] -- Decksize[39]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[96] -- Handsize[297] -- Decksize[81]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[97] -- Handsize[243] -- Decksize[124]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[98] -- Handsize[188] -- Decksize[166]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[99] -- Handsize[134] -- Decksize[209]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[100] -- Handsize[80] -- Decksize[251]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[101] -- Handsize[26] -- Decksize[294]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[102] -- Handsize[472] -- Decksize[336]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[103] -- Handsize[417] -- Decksize[379]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[104] -- Handsize[363] -- Decksize[421]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[105] -- Handsize[309] -- Decksize[464]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[106] -- Handsize[255] -- Decksize[6]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[107] -- Handsize[201] -- Decksize[49]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[108] -- Handsize[147] -- Decksize[91]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[109] -- Handsize[92] -- Decksize[134]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[110] -- Handsize[38] -- Decksize[176]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[111] -- Handsize[484] -- Decksize[219]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[112] -- Handsize[430] -- Decksize[261]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[113] -- Handsize[376] -- Decksize[304]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[114] -- Handsize[321] -- Decksize[346]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[115] -- Handsize[267] -- Decksize[389]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[116] -- Handsize[213] -- Decksize[431]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[117] -- Handsize[159] -- Decksize[474]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[118] -- Handsize[105] -- Decksize[16]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[119] -- Handsize[50] -- Decksize[59]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[120] -- Handsize[496] -- Decksize[101]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[121] -- Handsize[442] -- Decksize[144]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[122] -- Handsize[388] -- Decksize[186]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[123] -- Handsize[334] -- Decksize[229]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[124] -- Handsize[279] -- Decksize[272]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[125] -- Handsize[225] -- Decksize[314]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[126] -- Handsize[171] -- Decksize[357]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[127] -- Handsize[117] -- Decksize[399]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[128] -- Handsize[63] -- Decksize[442]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[129] -- Handsize[8] -- Decksize[484]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[130] -- Handsize[454] -- Decksize[27]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[131] -- Handsize[400] -- Decksize[69]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[132] -- Handsize[346] -- Decksize[112]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[133] -- Handsize[292] -- Decksize[154]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[134] -- Handsize[237] -- Decksize[197]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[135] -- Handsize[183] -- Decksize[239]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[136] -- Handsize[129] -- Decksize[282]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[137] -- Handsize[75] -- Decksize[324]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[138] -- Handsize[21] -- Decksize[367]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[139] -- Handsize[466] -- Decksize[409]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[140] -- Handsize[412] -- Decksize[452]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[141] -- Handsize[358] -- Decksize[494]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[142] -- Handsize[304] -- Decksize[37]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[143] -- Handsize[250] -- Decksize[79]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[144] -- Handsize[196] -- Decksize[122]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[145] -- Handsize[141] -- Decksize[164]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[146] -- Handsize[87] -- Decksize[207]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[147] -- Handsize[33] -- Decksize[249]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[148] -- Handsize[479] -- Decksize[292]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[149] -- Handsize[425] -- Decksize[334]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[150] -- Handsize[370] -- Decksize[377]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[151] -- Handsize[316] -- Decksize[419]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[152] -- Handsize[262] -- Decksize[462]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[153] -- Handsize[208] -- Decksize[4]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[154] -- Handsize[154] -- Decksize[47]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[155] -- Handsize[99] -- Decksize[90]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[156] -- Handsize[45] -- Decksize[132]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[157] -- Handsize[491] -- Decksize[175]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[158] -- Handsize[437] -- Decksize[217]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[159] -- Handsize[383] -- Decksize[260]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[160] -- Handsize[328] -- Decksize[302]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[161] -- Handsize[274] -- Decksize[345]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[162] -- Handsize[220] -- Decksize[387]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[163] -- Handsize[166] -- Decksize[430]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[164] -- Handsize[112] -- Decksize[472]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[165] -- Handsize[57] -- Decksize[15]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[166] -- Handsize[3] -- Decksize[57]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[167] -- Handsize[449] -- Decksize[100]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[168] -- Handsize[395] -- Decksize[142]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[169] -- Handsize[341] -- Decksize[185]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[170] -- Handsize[286] -- Decksize[227]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[171] -- Handsize[232] -- Decksize[270]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[172] -- Handsize[178] -- Decksize[312]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[173] -- Handsize[124] -- Decksize[355]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[174] -- Handsize[70] -- Decksize[397]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[175] -- Handsize[15] -- Decksize[440]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[176] -- Handsize[461] -- Decksize[482]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[177] -- Handsize[407] -- Decksize[25]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[178] -- Handsize[353] -- Decksize[67]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[179] -- Handsize[299] -- Decksize[110]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[180] -- Handsize[245] -- Decksize[152]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[181] -- Handsize[190] -- Decksize[195]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[182] -- Handsize[136] -- Decksize[237]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[183] -- Handsize[82] -- Decksize[280]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[184] -- Handsize[28] -- Decksize[322]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[185] -- Handsize[474] -- Decksize[365]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[186] -- Handsize[419] -- Decksize[408]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[187] -- Handsize[365] -- Decksize[450]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[188] -- Handsize[311] -- Decksize[493]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[189] -- Handsize[257] -- Decksize[35]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[190] -- Handsize[203] -- Decksize[78]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[191] -- Handsize[148] -- Decksize[120]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[192] -- Handsize[94] -- Decksize[163]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[193] -- Handsize[40] -- Decksize[205]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[194] -- Handsize[486] -- Decksize[248]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[195] -- Handsize[432] -- Decksize[290]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[196] -- Handsize[377] -- Decksize[333]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[197] -- Handsize[323] -- Decksize[375]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[198] -- Handsize[269] -- Decksize[418]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[199] -- Handsize[215] -- Decksize[460]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[200] -- Handsize[161] -- Decksize[3]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[201] -- Handsize[106] -- Decksize[45]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[202] -- Handsize[52] -- Decksize[88]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[203] -- Handsize[498] -- Decksize[130]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[204] -- Handsize[444] -- Decksize[173]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[205] -- Handsize[390] -- Decksize[215]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[206] -- Handsize[335] -- Decksize[258]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[207] -- Handsize[281] -- Decksize[300]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[208] -- Handsize[227] -- Decksize[343]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[209] -- Handsize[173] -- Decksize[385]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[210] -- Handsize[119] -- Decksize[428]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[211] -- Handsize[64] -- Decksize[470]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[212] -- Handsize[10] -- Decksize[13]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[213] -- Handsize[456] -- Decksize[55]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[214] -- Handsize[402] -- Decksize[98]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[215] -- Handsize[348] -- Decksize[140]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[216] -- Handsize[294] -- Decksize[183]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[217] -- Handsize[239] -- Decksize[226]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[218] -- Handsize[185] -- Decksize[268]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[219] -- Handsize[131] -- Decksize[311]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[220] -- Handsize[77] -- Decksize[353]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[221] -- Handsize[23] -- Decksize[396]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[222] -- Handsize[468] -- Decksize[438]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[223] -- Handsize[414] -- Decksize[481]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[224] -- Handsize[360] -- Decksize[23]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[225] -- Handsize[306] -- Decksize[66]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[226] -- Handsize[252] -- Decksize[108]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[227] -- Handsize[197] -- Decksize[151]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[228] -- Handsize[143] -- Decksize[193]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[229] -- Handsize[89] -- Decksize[236]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[230] -- Handsize[35] -- Decksize[278]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[231] -- Handsize[481] -- Decksize[321]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[232] -- Handsize[426] -- Decksize[363]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[233] -- Handsize[372] -- Decksize[406]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[234] -- Handsize[318] -- Decksize[448]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[235] -- Handsize[264] -- Decksize[491]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[236] -- Handsize[210] -- Decksize[33]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[237] -- Handsize[155] -- Decksize[76]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[238] -- Handsize[101] -- Decksize[118]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[239] -- Handsize[47] -- Decksize[161]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[240] -- Handsize[493] -- Decksize[203]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[241] -- Handsize[439] -- Decksize[246]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[242] -- Handsize[384] -- Decksize[288]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[243] -- Handsize[330] -- Decksize[331]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[244] -- Handsize[276] -- Decksize[373]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[245] -- Handsize[222] -- Decksize[416]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[246] -- Handsize[168] -- Decksize[458]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[247] -- Handsize[113] -- Decksize[1]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[248] -- Handsize[59] -- Decksize[44]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[249] -- Handsize[5] -- Decksize[86]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[250] -- Handsize[451] -- Decksize[129]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[251] -- Handsize[397] -- Decksize[171]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[252] -- Handsize[343] -- Decksize[214]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[253] -- Handsize[288] -- Decksize[256]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[254] -- Handsize[234] -- Decksize[299]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[255] -- Handsize[180] -- Decksize[341]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[256] -- Handsize[126] -- Decksize[384]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[257] -- Handsize[72] -- Decksize[426]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[258] -- Handsize[17] -- Decksize[469]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[259] -- Handsize[463] -- Decksize[11]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[260] -- Handsize[409] -- Decksize[54]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[261] -- Handsize[355] -- Decksize[96]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[262] -- Handsize[301] -- Decksize[139]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[263] -- Handsize[246] -- Decksize[181]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[264] -- Handsize[192] -- Decksize[224]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[265] -- Handsize[138] -- Decksize[266]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[266] -- Handsize[84] -- Decksize[309]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[267] -- Handsize[30] -- Decksize[351]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[268] -- Handsize[475] -- Decksize[394]
#TESTS PASSED: 1, TESTS FAILED: 2
-- Seed[269] -- Handsize[421] -- Decksize[436]
